bssid,vehicle
00:1A:DD:58:CB:21,2550
00:1A:DD:58:CB:41,2042
00:1A:DD:58:CB:51,2042
00:1A:DD:58:CB:81,3098
00:1A:DD:58:CB:91,3098
00:1A:DD:58:CB:A1,2585
00:1A:DD:58:CB:E1,2004
00:1A:DD:58:CB:F1,2004
00:1A:DD:58:CC:01,3079
00:1A:DD:58:CC:41,3100
00:1A:DD:58:CC:51,3100
00:1A:DD:58:CC:61,2035
00:1A:DD:58:CC:71,2035
00:1A:DD:58:CC:81,3057
00:1A:DD:58:CC:91,3057
00:1A:DD:58:CD:21,2014
00:1A:DD:58:CD:31,2014
00:1A:DD:58:CD:41,3011
00:1A:DD:58:CD:61,3095
00:1A:DD:58:CD:71,3095
00:1A:DD:58:CD:E1,3025
00:1A:DD:58:CD:F1,3025
00:1A:DD:58:CE:01,2527
00:1A:DD:58:CE:11,2527
00:1A:DD:58:CE:A1,2564
00:1A:DD:58:CE:B1,2564
00:1A:DD:58:CE:C1,3094
00:1A:DD:58:CE:D1,3094
00:1A:DD:58:CE:E1,2005
00:1A:DD:58:CF:21,3080
00:1A:DD:58:CF:31,3080
00:1A:DD:58:CF:A1,3086
00:1A:DD:58:CF:B1,3086
00:1A:DD:58:CF:E1,3070
00:1A:DD:58:D0:01,2003
00:1A:DD:58:D0:11,2003
00:1A:DD:58:D0:41,2505
00:1A:DD:58:D0:51,2505
00:1A:DD:58:D0:61,3081
00:1A:DD:58:D0:71,3081
00:1A:DD:58:D1:01,3056
00:1A:DD:58:D1:41,2048
00:1A:DD:58:D1:51,2048
00:1A:DD:58:D1:61,2023
00:1A:DD:58:D1:71,2023
00:1A:DD:58:D1:A1,3048
00:1A:DD:58:D1:C1,2510
00:1A:DD:58:D1:D1,2510
00:1A:DD:58:D2:E1,3046
00:1A:DD:58:D2:F1,3046
00:1A:DD:58:D3:A1,2024
00:1A:DD:58:D3:B1,2024
00:1A:DD:58:D4:A1,2513
00:1A:DD:58:D4:B1,2513
00:1A:DD:58:D5:41,3096
00:1A:DD:58:D5:51,3096
00:1A:DD:58:D5:71,2566
00:1A:DD:58:D5:E1,3053
00:1A:DD:58:D5:F1,3053
00:1A:DD:58:D6:01,2552
00:1A:DD:58:D6:11,2552
00:1A:DD:58:D6:41,2039
00:1A:DD:58:D6:51,2039
00:1A:DD:58:D6:71,2558
00:1A:DD:58:D7:41,2587
00:1A:DD:58:D7:81,2037
00:1A:DD:58:D7:91,2037
00:1A:DD:58:D7:A1,2559
00:1A:DD:58:D7:B1,2559
00:1A:DD:58:D8:51,3024
00:1A:DD:58:D8:81,3085
00:1A:DD:58:D8:A1,2047
00:1A:DD:58:D8:B1,2047
00:1A:DD:58:D8:E1,2573
00:1A:DD:58:D8:F1,2573
00:1A:DD:58:D9:11,2528
00:1A:DD:58:D9:81,3009
00:1A:DD:58:D9:91,3009
00:1A:DD:58:D9:A1,2570
00:1A:DD:58:D9:B1,2570
00:1A:DD:58:D9:C1,3091
00:1A:DD:58:D9:D1,3091
00:1A:DD:58:DA:21,2542
00:1A:DD:58:DA:61,2502
00:1A:DD:58:DA:71,2502
00:1A:DD:58:DA:81,3013
00:1A:DD:58:DA:91,3013
00:1A:DD:58:DA:A1,2504
00:1A:DD:58:DA:B1,2504
00:1A:DD:58:DB:21,3069
00:1A:DD:58:DB:41,2507
00:1A:DD:58:DB:51,2507
00:1A:DD:58:DB:F1,2038
00:1A:DD:58:DC:01,2516
00:1A:DD:58:DC:11,2516
00:1A:DD:58:DC:31,2529
00:1A:DD:58:DC:61,2002
00:1A:DD:58:DC:71,2002
00:1A:DD:58:DD:41,3084
00:1A:DD:58:DD:51,3084
00:1A:DD:58:DD:81,3051
00:1A:DD:58:DD:91,3051
00:1A:DD:58:DE:01,2554
00:1A:DD:58:DE:21,2536
00:1A:DD:58:DE:31,2536
00:1A:DD:58:DE:41,3020
00:1A:DD:58:DE:51,3020
00:1A:DD:58:DE:61,3023
00:1A:DD:58:DE:71,3023
00:1A:DD:58:DE:C1,2572
00:1A:DD:58:DE:D1,2572
00:1A:DD:58:DE:E1,2534
00:1A:DD:58:DE:F1,2534
00:1A:DD:58:DF:01,2020
00:1A:DD:58:DF:11,2020
00:1A:DD:58:DF:21,2544
00:1A:DD:58:DF:31,2544
00:1A:DD:58:DF:41,2046
00:1A:DD:58:DF:51,2046
00:1A:DD:58:DF:61,3099
00:1A:DD:58:DF:71,3099
00:1A:DD:58:DF:81,2501
00:1A:DD:58:DF:C1,2565
00:1A:DD:58:DF:E1,2586
00:1A:DD:58:DF:F1,2586
00:1A:DD:58:E0:21,2018
00:1A:DD:58:E0:31,2018
00:1A:DD:58:E0:C1,3031
00:1A:DD:58:E0:D1,3031
00:1A:DD:58:E0:F1,2011
00:1A:DD:58:E1:A1,2010
00:1A:DD:58:E1:B1,2010
00:1A:DD:58:E1:E1,3060
00:1A:DD:58:E1:F1,3060
00:1A:DD:58:E2:01,3052
00:1A:DD:58:E2:11,3052
00:1A:DD:58:E2:81,3040
00:1A:DD:58:E2:91,3040
00:1A:DD:58:E2:A1,2009
00:1A:DD:58:E2:B1,2009
00:1A:DD:58:E3:01,3049
00:1A:DD:58:E3:11,3049
00:1A:DD:58:E3:41,2041
00:1A:DD:58:E3:61,3034
00:1A:DD:58:E3:81,2537
00:1A:DD:58:E3:91,2537
00:1A:DD:58:E3:A1,3082
00:1A:DD:58:E3:E1,2017
00:1A:DD:58:E4:21,2588
00:1A:DD:58:E4:31,2588
00:1A:DD:58:E4:A1,3054
00:1A:DD:58:E4:B1,3054
00:1A:DD:58:E5:01,3045
00:1A:DD:58:E5:11,3045
00:1A:DD:58:E5:21,3026
00:1A:DD:58:E5:31,3026
00:1A:DD:58:E5:41,3022
00:1A:DD:58:E5:51,3022
00:1A:DD:58:E5:B1,3059
00:1A:DD:58:E5:C1,2045
00:1A:DD:58:E5:D1,2045
00:1A:DD:58:E6:31,2013
00:1A:DD:58:E6:C1,3071
00:1A:DD:58:E6:D1,3071
00:1A:DD:58:E6:E1,2029
00:1A:DD:58:E6:F1,2029
00:1A:DD:58:E7:21,2514
00:1A:DD:58:E7:31,2514
00:1A:DD:58:E7:41,2040
00:1A:DD:58:E7:51,2040
00:1A:DD:58:E7:C1,3041
00:1A:DD:58:E7:E1,3092
00:1A:DD:58:E7:F1,3092
00:1A:DD:58:E8:01,3075
00:1A:DD:58:E8:21,2595
00:1A:DD:58:E8:31,2595
00:1A:DD:58:E8:41,3019
00:1A:DD:58:E8:61,2044
00:1A:DD:58:E8:71,2044
00:1A:DD:58:E8:E1,2033
00:1A:DD:58:E8:F1,2033
00:1A:DD:58:E9:A1,3050
00:1A:DD:58:E9:B1,3050
00:1A:DD:58:E9:C1,2026
00:1A:DD:58:E9:D1,2026
00:1A:DD:58:EA:01,2533
00:1A:DD:58:EA:11,2533
00:1A:DD:58:EA:B1,2543
00:1A:DD:58:EB:21,3093
00:1A:DD:58:EB:31,3093
00:1A:DD:58:EB:61,2019
00:1A:DD:58:EB:71,2019
00:1A:DD:58:EC:41,2569
00:1A:DD:58:EC:51,2569
00:1A:DD:58:EC:61,3043
00:1A:DD:58:EC:71,3043
00:1A:DD:58:EC:81,3061
00:1A:DD:58:EC:C1,2031
00:1A:DD:58:ED:21,3008
00:1A:DD:58:ED:31,3008
00:1A:DD:58:ED:41,2032
00:1A:DD:6E:76:21,3140
