bssid,vehicle
04:F0:21:55:FD:6A,"RH 538"
04:F0:21:55:FD:88,"RH 517"
04:F0:21:56:07:D3,"RH 649"
04:F0:21:56:07:DF,"RH 805"
04:F0:21:56:10:04,"RH 608"
