bssid,vehicle
06:90:E8:46:98:61,"ICE Tz 9007"
06:90:E8:46:98:62,"ICE Tz 9007"
06:90:E8:77:7C:D6,"ICE Tz 9043"
06:90:E8:78:C0:4A,"ICE Tz 9043"
06:90:E8:78:C0:4D,"ICE Tz 9043"
06:90:E8:78:C0:69,"ICE Tz 9044"
40:01:7A:45:FF:D0,"ICE Tz 9002"
40:01:7A:45:FF:D1,"ICE Tz 9002"
40:01:7A:45:FF:D2,"ICE Tz 9002"
40:01:7A:4C:08:F0,"ICE Tz 9002"
40:01:7A:4C:08:F1,"ICE Tz 9002"
40:01:7A:56:2B:00,"ICE Tz 9002"
40:01:7A:56:2B:01,"ICE Tz 9002"
40:01:7A:56:2B:02,"ICE Tz 9002"
40:01:7A:57:35:A0,"ICE Tz 9002"
40:01:7A:57:35:A1,"ICE Tz 9002"
40:01:7A:61:3D:C0,"ICE Tz 9002"
40:01:7A:61:3D:C1,"ICE Tz 9002"
40:01:7A:62:6B:A0,"ICE Tz 9002"
40:01:7A:62:6B:A1,"ICE Tz 9002"
B0:26:80:86:8C:E0,"ICE Tz 9002"
B0:26:80:86:8C:E1,"ICE Tz 9002"
B0:26:80:86:8C:E2,"ICE Tz 9002"
B0:26:80:86:8D:50,"ICE Tz 9002"
B0:26:80:86:8D:51,"ICE Tz 9002"
F8:0F:6F:59:E7:F0,"ICE Tz 9002"
F8:0F:6F:59:E7:F1,"ICE Tz 9002"
F8:0F:6F:59:E7:F2,"ICE Tz 9002"
F8:0F:6F:C9:28:D0,"ICE Tz 9002"
F8:0F:6F:C9:28:D1,"ICE Tz 9002"
